,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RUFY4,78.22575491,-9.997762605,1.277741377,-7.824558858,5.09E-15,6.92E-14
DTNA,775.2468887,7.200163728,0.920489681,7.82210151,5.19E-15,7.05E-14
AKAP13,4216.154591,-1.237957209,0.158309115,-7.819873204,5.29E-15,7.17E-14
LOC100131089,89.41960088,-2.325200654,0.297409815,-7.818170549,5.36E-15,7.26E-14
NINJ2,117.4842577,-9.772526947,1.250258744,-7.816403603,5.44E-15,7.36E-14
ZNF280B,238.6241303,-6.113379668,0.782304886,-7.814574312,5.51E-15,7.46E-14
TSEN34,1443.818667,2.922366274,0.3741749,7.81016117,5.71E-15,7.72E-14
LOC100498859,60.99248998,-10.73605902,1.375098655,-7.807482744,5.83E-15,7.88E-14
CNTNAP1,1122.953316,-3.901366864,0.499813117,-7.80565122,5.92E-15,7.99E-14
CYP24A1,87.8856038,10.13852488,1.301161563,7.791903152,6.60E-15,8.90E-14
TMEM63C,251.4999496,5.298875976,0.680217556,7.789972384,6.70E-15,9.03E-14
TNFAIP8L2,88.41377753,-10.27327715,1.320047641,-7.782504838,7.11E-15,9.58E-14
LAP3,3773.864229,-1.830701736,0.235266174,-7.781406516,7.17E-15,9.65E-14
C1orf226,601.1151762,9.00528595,1.157410919,7.780543452,7.22E-15,9.71E-14
LOC100506023,72.38323987,-3.448519885,0.443244924,-7.780167803,7.24E-15,9.73E-14
NICN1,629.0652424,-1.762352917,0.226569562,-7.778418683,7.34E-15,9.86E-14
PCOLCE2,169.9149631,4.314920494,0.555021201,7.774334535,7.58E-15,1.02E-13
RHEBL1,163.5331245,-3.303103855,0.42492738,-7.7733373,7.64E-15,1.02E-13
MITF,115.1373552,7.44419668,0.957688838,7.773084935,7.66E-15,1.03E-13
RAB3D,1090.901873,2.075212534,0.267003633,7.772225834,7.71E-15,1.03E-13
MME,364.1871739,8.614098095,1.108928792,7.767945208,7.98E-15,1.07E-13
OSGIN1,151.2106134,5.691400017,0.732858507,7.766028458,8.10E-15,1.08E-13
PLEKHH2,170.7874794,6.108280367,0.786618419,7.765239435,8.15E-15,1.09E-13
CLEC11A,134.4799715,6.081908617,0.78369184,7.760586883,8.45E-15,1.13E-13
ADARB2,106.6781691,-6.512833894,0.839421998,-7.758712437,8.58E-15,1.14E-13
CALM1,10301.18875,1.621917335,0.209105429,7.756457314,8.73E-15,1.16E-13
LOC100131733,38.92142949,-10.08322105,1.300580514,-7.752861848,8.98E-15,1.20E-13
PODNL1,81.39546788,4.664421891,0.601864376,7.749955095,9.19E-15,1.22E-13
FLJ12334,38.08485415,-4.830258236,0.623385189,-7.748432785,9.30E-15,1.24E-13
PPP1R15A,2040.097658,-1.994534166,0.25745468,-7.747127261,9.40E-15,1.25E-13
STXBP1,1277.394945,4.915155238,0.634619698,7.745040466,9.56E-15,1.27E-13
MFAP3L,169.9432959,5.549894914,0.716594009,7.744824604,9.57E-15,1.27E-13
NES,5003.37135,7.32456491,0.945800994,7.744298173,9.61E-15,1.27E-13
ACADSB,934.8796001,-2.496800559,0.322416312,-7.744026788,9.63E-15,1.28E-13
CNFN,133.1516361,6.411613398,0.828145984,7.742129429,9.78E-15,1.29E-13
MAP4K4,7868.117523,5.09491468,0.658562779,7.736414571,1.02E-14,1.35E-13
GPSM2,740.0786465,2.175678473,0.281252539,7.735675836,1.03E-14,1.36E-13
C22orf34,48.17999564,-10.38288533,1.342996972,-7.731130855,1.07E-14,1.41E-13
FZD7,4884.655804,4.657486044,0.602789427,7.726555633,1.10E-14,1.46E-13
FES,194.1710818,-6.391220654,0.827211192,-7.726226039,1.11E-14,1.46E-13
SFN,8856.818621,7.520907627,0.973589471,7.724927035,1.12E-14,1.47E-13
ARHGAP19,1120.114409,-1.561209812,0.202148366,-7.723088948,1.14E-14,1.49E-13
ERC1,1797.491323,3.309397258,0.428563552,7.722068864,1.14E-14,1.51E-13
ZNF589,2997.868071,-2.35704429,0.305261385,-7.721396819,1.15E-14,1.51E-13
RSAD2,28.50674819,-5.271730993,0.683280097,-7.715329356,1.21E-14,1.58E-13
TMEM51,289.8791079,4.250687521,0.550934692,7.715410883,1.21E-14,1.58E-13
SPTB,319.1956427,3.52611354,0.45707473,7.714523045,1.21E-14,1.59E-13
FMNL3,3395.866714,-3.342640561,0.433427656,-7.712107232,1.24E-14,1.62E-13
GIMAP7,65.56244588,-8.983486779,1.165515039,-7.707739906,1.28E-14,1.68E-13
SLC1A1,567.1392067,-3.421106884,0.443873514,-7.707391353,1.28E-14,1.68E-13
HAVCR2,215.6714752,-10.69768278,1.388061796,-7.706921129,1.29E-14,1.68E-13
PRDM2,1789.500858,-1.701320095,0.220793836,-7.705469159,1.30E-14,1.70E-13
ESR1,1843.142428,12.5370266,1.627069376,7.705280912,1.31E-14,1.70E-13
GPR125,2003.926928,5.177452851,0.672579861,7.697900499,1.38E-14,1.80E-13
RPL29,34337.1759,-0.974193252,0.126556464,-7.697696498,1.39E-14,1.81E-13
CLDN16,60.37763482,-6.233554607,0.810358115,-7.692345511,1.44E-14,1.88E-13
C10orf128,39.112938,-10.09860586,1.31285296,-7.692107321,1.45E-14,1.88E-13
RAB2B,767.195057,-1.415874556,0.184111314,-7.690318015,1.47E-14,1.91E-13
SLC9A5,453.4498516,-3.482059614,0.452842692,-7.689335998,1.48E-14,1.92E-13
CUTC,706.1840161,-1.069303917,0.139066128,-7.689175853,1.48E-14,1.92E-13
GIMAP1,39.0237284,-10.08394967,1.311748634,-7.687410078,1.50E-14,1.95E-13
GYPC,1256.436507,-8.863785526,1.153005582,-7.6875478,1.50E-14,1.95E-13
PRSS22,120.428216,10.45331058,1.359799173,7.687392953,1.50E-14,1.95E-13
GPT2,2361.856127,3.485495009,0.453519466,7.685436393,1.52E-14,1.97E-13
MT1F,194.7137781,5.017607104,0.653190278,7.681692878,1.57E-14,2.03E-13
ARNT2,843.4133268,7.727523568,1.006118566,7.680529737,1.58E-14,2.05E-13
IFI6,562.2203239,-3.140767142,0.408936396,-7.68033164,1.59E-14,2.05E-13
FCHO2,292.6835614,3.991183201,0.520627822,7.66609665,1.77E-14,2.29E-13
GPC4,5419.356553,4.690987843,0.612225911,7.662184429,1.83E-14,2.36E-13
SPIRE2,271.4932179,5.251208775,0.685960627,7.655262657,1.93E-14,2.49E-13
FAM63A,461.7668645,1.991527053,0.260175945,7.654539515,1.94E-14,2.50E-13
ZFAT,1239.827268,-2.490884101,0.325607664,-7.649955383,2.01E-14,2.59E-13
MAML3,198.7094704,6.268631098,0.819826281,7.646291956,2.07E-14,2.66E-13
MAMLD1,123.911643,9.624001801,1.259498718,7.64113664,2.15E-14,2.77E-13
FAM64A,1415.897719,2.035259761,0.266452425,7.638360822,2.20E-14,2.82E-13
MAF,191.3429128,9.653083153,1.263772232,7.638309268,2.20E-14,2.82E-13
TENC1,214.5049908,4.955878061,0.649146819,7.634448654,2.27E-14,2.91E-13
SGMS2,234.9271293,7.493476065,0.982452081,7.627319656,2.40E-14,3.07E-13
NBPF1,615.8784086,4.5479687,0.596412989,7.625535964,2.43E-14,3.11E-13
CDK20,187.2769313,9.622441439,1.262648231,7.620841024,2.52E-14,3.22E-13
CD6,67.08268496,-6.991754024,0.917466042,-7.620722406,2.52E-14,3.22E-13
ELF3,1245.719697,8.063085973,1.058656132,7.616340877,2.61E-14,3.33E-13
CYP4F11,113.4199674,10.51441542,1.380832945,7.614545593,2.65E-14,3.38E-13
CHST15,782.072921,4.145196841,0.544565185,7.611938769,2.70E-14,3.44E-13
DTNB,851.1900531,1.930954946,0.253739311,7.609995218,2.74E-14,3.49E-13
RABGAP1L,3598.412676,-3.752766952,0.493508446,-7.604260847,2.87E-14,3.65E-13
BMP7,3515.149746,11.02227905,1.450066816,7.601221493,2.93E-14,3.73E-13
CRK,1392.575876,2.549135491,0.335503097,7.597949205,3.01E-14,3.83E-13
LEF1,181.3504219,-4.44489781,0.585111175,-7.596672215,3.04E-14,3.86E-13
KCNA6,149.4156841,-9.387706356,1.236130873,-7.594427551,3.09E-14,3.93E-13
CD79B,510.5318626,-8.399429974,1.106103837,-7.59370838,3.11E-14,3.95E-13
RAB6B,394.6122974,4.04238032,0.532558934,7.590484469,3.19E-14,4.04E-13
CDC42BPB,6159.673978,2.658010573,0.350288307,7.58806537,3.25E-14,4.11E-13
CEBPA,242.2060149,7.438857458,0.980543123,7.586466402,3.29E-14,4.16E-13
CEP112,84.54686398,5.370140792,0.708121433,7.583643907,3.36E-14,4.25E-13
GPC5,29.84604565,-4.97158313,0.655609681,-7.583144784,3.37E-14,4.26E-13
BMPR1B,51.28389947,5.489684807,0.724289543,7.579406412,3.47E-14,4.39E-13
SSFA2,1923.353425,1.921584453,0.253583379,7.577722393,3.52E-14,4.44E-13
TAF4B,763.6160049,-1.56422916,0.206563793,-7.572620255,3.66E-14,4.62E-13
SPINT2,9493.148846,4.474603486,0.591361114,7.566617727,3.83E-14,4.83E-13
TMEM125,450.3040773,11.01830263,1.456412052,7.565374517,3.87E-14,4.87E-13
SERTAD4,71.69647836,9.444152927,1.248448339,7.564712635,3.89E-14,4.89E-13
CAMK2N2,211.7945516,4.800307167,0.634781636,7.562139314,3.96E-14,4.99E-13
FOXA1,2551.45097,13.45227497,1.78095179,7.553418933,4.24E-14,5.33E-13
SCARF1,62.09347954,-5.05283919,0.668960336,-7.553271721,4.24E-14,5.33E-13
MBTPS1,3496.464926,2.113897679,0.279898766,7.552365114,4.27E-14,5.37E-13
TMEM184B,2624.305154,3.032286146,0.401532746,7.55177798,4.29E-14,5.39E-13
BIN1,913.192905,-3.780562424,0.50068567,-7.550770177,4.33E-14,5.42E-13
LOC100130950,68.45244347,-2.822199407,0.373870253,-7.548606468,4.40E-14,5.51E-13
NCALD,736.4879191,-6.479290771,0.858882074,-7.543865411,4.56E-14,5.71E-13
SLC7A2,1809.019915,9.468037014,1.255062572,7.54387648,4.56E-14,5.71E-13
PPIEL,142.6140774,-3.518371394,0.466478074,-7.542415375,4.61E-14,5.77E-13
ITSN2,1615.229608,-1.991625181,0.264103358,-7.541082383,4.66E-14,5.82E-13
MSH5-C6orf26,60.21650472,-4.206038721,0.557911075,-7.538905227,4.74E-14,5.92E-13
PDCD1,74.25910904,-7.958078249,1.055801034,-7.537479119,4.79E-14,5.98E-13
HOXC9,63.78968862,9.684505228,1.28500883,7.536528156,4.83E-14,6.02E-13
COX17,1463.292718,-1.574510028,0.208971992,-7.53455049,4.90E-14,6.10E-13
GRHL1,283.7190716,6.103650912,0.810782042,7.52810323,5.15E-14,6.41E-13
PCDHAC2,137.9073995,9.600997786,1.275367183,7.528026368,5.15E-14,6.41E-13
TSHZ3,380.8291165,9.661870874,1.283603977,7.527143146,5.19E-14,6.45E-13
UBE2J1,2910.499845,-2.03238644,0.270016734,-7.526890687,5.20E-14,6.45E-13
KLK11,296.6788764,11.8922132,1.580369413,7.52495784,5.27E-14,6.54E-13
RLTPR,1272.446085,-5.545208909,0.737420181,-7.519741195,5.49E-14,6.81E-13
LOC375190,55.55164135,-3.560271535,0.47348546,-7.519283778,5.51E-14,6.83E-13
FAM83F,326.9678959,11.09478082,1.47582738,7.517668374,5.58E-14,6.91E-13
PCDHB2,435.1160302,9.090107695,1.209357236,7.516478529,5.63E-14,6.96E-13
CNTRL,1516.645714,-2.434014579,0.324101652,-7.51003447,5.91E-14,7.31E-13
TNFSF13B,146.3177232,-6.531860616,0.870133369,-7.506735002,6.06E-14,7.49E-13
GRTP1,427.5960606,4.518727893,0.602215901,7.503501455,6.21E-14,7.67E-13
WTIP,255.2450149,3.813245407,0.508341382,7.501347606,6.32E-14,7.79E-13
TLR9,72.00164917,-5.419431604,0.722764624,-7.498197098,6.47E-14,7.98E-13
HSH2D,988.9864873,-5.035393971,0.671872575,-7.494566918,6.65E-14,8.20E-13
CLDN1,290.7525454,2.891782978,0.385994096,7.491780337,6.79E-14,8.37E-13
CYP11A1,87.76680645,-9.303700069,1.241987835,-7.4909752,6.84E-14,8.41E-13
PPP2R3A,485.6717603,5.194007128,0.693388573,7.49075963,6.85E-14,8.42E-13
ASPH,1936.904392,5.657098292,0.755475335,7.488131025,6.99E-14,8.58E-13
ANXA2,28177.06048,5.438776008,0.726387146,7.487434271,7.02E-14,8.62E-13
CNKSR3,168.4840781,2.165765371,0.289369971,7.484416444,7.19E-14,8.82E-13
CRIP1,1019.48042,-5.756845786,0.769975151,-7.476664381,7.62E-14,9.34E-13
PHF21A,1557.861984,-1.412329967,0.188897664,-7.476693659,7.62E-14,9.34E-13
RUSC1,1452.842098,2.489967899,0.333183796,7.473256286,7.82E-14,9.58E-13
NMI,693.9448166,-3.254572621,0.435518835,-7.472863072,7.85E-14,9.60E-13
SH3BGRL2,412.8136846,4.256512597,0.569724329,7.471179269,7.95E-14,9.72E-13
PLXNA1,6973.722014,3.375104188,0.451939819,7.468038979,8.14E-14,9.95E-13
GPR174,50.16221605,-10.45851683,1.400629196,-7.467013299,8.20E-14,1.00E-12
LOC100507557,28.03432687,-4.038079894,0.540976624,-7.464425844,8.37E-14,1.02E-12
HDGF,11276.1828,1.300864249,0.174295346,7.463562743,8.42E-14,1.03E-12
OXER1,77.43029626,-9.405622937,1.260192186,-7.463641689,8.42E-14,1.03E-12
RAB40B,186.4640922,2.085461494,0.279490907,7.461643447,8.54E-14,1.04E-12
FADD,1376.736265,1.609778789,0.215907321,7.455878665,8.93E-14,1.09E-12
LOC100131289,28.17359207,-4.778708016,0.640933232,-7.455859331,8.93E-14,1.09E-12
HOMER2,572.8616724,3.723089896,0.499498845,7.453650664,9.08E-14,1.10E-12
SLC31A2,468.2355108,4.176824754,0.560530559,7.451555822,9.22E-14,1.12E-12
LPCAT2,427.5738305,11.29954887,1.517583701,7.445750019,9.64E-14,1.17E-12
CCDC64,802.679342,3.783050521,0.508192695,7.444126136,9.76E-14,1.18E-12
CADPS2,600.5244715,6.85511714,0.921469145,7.439334433,1.01E-13,1.23E-12
MARVELD1,993.9409528,4.858293852,0.653100056,7.438820139,1.02E-13,1.23E-12
MSX2,184.455672,9.412674548,1.265902595,7.435544081,1.04E-13,1.26E-12
LLGL1,2808.287847,3.086959855,0.415397322,7.431342696,1.08E-13,1.30E-12
PVRL3,533.3147754,8.094476701,1.090115788,7.425336639,1.12E-13,1.36E-12
ANKRD36,390.0950871,-2.277756607,0.306766298,-7.425054914,1.13E-13,1.36E-12
PCDH7,312.5349375,9.633419094,1.29760388,7.424006081,1.14E-13,1.37E-12
PSMA8,36.01681827,-9.966923725,1.342819047,-7.422387812,1.15E-13,1.39E-12
ZNF860,115.0291644,6.876748062,0.926497763,7.422304008,1.15E-13,1.39E-12
VASH2,1934.267348,-5.17735921,0.697595814,-7.421717711,1.16E-13,1.39E-12
RASSF3,2327.078006,-2.235161443,0.301184527,-7.421235953,1.16E-13,1.40E-12
MID1,826.9631493,4.920600116,0.66317603,7.41974965,1.17E-13,1.41E-12
MEIS1,80.97030453,9.98259468,1.345480061,7.419355343,1.18E-13,1.41E-12
PLCB1,169.0788406,7.973218767,1.075654967,7.412431505,1.24E-13,1.49E-12
EFHD1,274.3189199,10.43608558,1.408387961,7.409950856,1.26E-13,1.52E-12
ARVCF,1036.788251,4.240004037,0.572510892,7.405979683,1.30E-13,1.56E-12
LILRA4,38.701112,-10.08004906,1.362697738,-7.397127608,1.39E-13,1.67E-12
PRG2,30.40230296,-9.389888682,1.269394682,-7.397138819,1.39E-13,1.67E-12
IL32,2365.562075,-5.986449824,0.809536664,-7.394908824,1.42E-13,1.69E-12
MYO18B,73.32042023,-9.355993599,1.265370713,-7.39387557,1.43E-13,1.71E-12
LOC283710,151.6444846,-10.16361262,1.375128839,-7.391025719,1.46E-13,1.74E-12
MS4A7,45.00320862,-10.29306138,1.392910861,-7.389605226,1.47E-13,1.76E-12
ETV6,1860.860442,-2.964952929,0.401606771,-7.382726452,1.55E-13,1.85E-12
ERAP1,1945.998708,-2.891050727,0.391766056,-7.379533486,1.59E-13,1.89E-12
LDLRAD3,463.9670813,2.970284382,0.402677245,7.376340284,1.63E-13,1.94E-12
ACADM,2904.512476,-3.906489573,0.530255811,-7.367179187,1.74E-13,2.08E-12
LRP2BP,178.9642011,-5.676369025,0.770712873,-7.365089155,1.77E-13,2.11E-12
ARHGEF7,3238.211021,-1.885585004,0.256075154,-7.363404752,1.79E-13,2.13E-12
LPHN1,4214.552461,5.359801342,0.728085382,7.361501104,1.82E-13,2.16E-12
PLEKHO1,1526.061364,-3.455927259,0.469550987,-7.360068145,1.84E-13,2.18E-12
MPP3,100.3580056,9.085363276,1.234498502,7.359557958,1.85E-13,2.19E-12
HLA-DPB2,128.9380469,-9.3178646,1.266252371,-7.358615717,1.86E-13,2.20E-12
NR1I2,49.79891993,-4.408647628,0.599314203,-7.356154091,1.89E-13,2.24E-12
FOXG1,70.18147702,-8.993782476,1.223087132,-7.353345678,1.93E-13,2.29E-12
FAM21C,1048.897751,-1.322564055,0.179946986,-7.349742745,1.99E-13,2.35E-12
S100P,981.1907522,11.02019128,1.499835425,7.347600338,2.02E-13,2.39E-12
IL11,46.57832396,3.775905617,0.513926002,7.347177615,2.02E-13,2.39E-12
GRIA3,75.66186758,-8.836316845,1.202782806,-7.346560661,2.03E-13,2.40E-12
MYH14,3919.504744,9.591074673,1.305983552,7.343947526,2.07E-13,2.45E-12
ZCCHC24,241.7859006,2.539851124,0.346217685,7.33599476,2.20E-13,2.60E-12
LCN10,55.93299475,-7.901795585,1.077198478,-7.335505708,2.21E-13,2.60E-12
NEK6,3414.656666,-2.190004161,0.298717058,-7.331366267,2.28E-13,2.68E-12
VASN,318.0037967,5.44574534,0.74281802,7.331197133,2.28E-13,2.69E-12
CLTB,2512.786144,2.934113552,0.400400303,7.32795037,2.34E-13,2.75E-12
RAC1,9019.157199,1.516412562,0.206936848,7.327900156,2.34E-13,2.75E-12
LOC100287616,233.7001337,9.257286595,1.264209252,7.322590453,2.43E-13,2.86E-12
IL17RA,964.5385836,2.155134588,0.294401686,7.320388051,2.47E-13,2.90E-12
MIPOL1,156.7846014,9.415211186,1.288014358,7.309865088,2.67E-13,3.14E-12
TEX9,284.5061042,-3.977942012,0.544592582,-7.304436641,2.78E-13,3.26E-12
ABCC4,1084.967439,-2.050339371,0.280793555,-7.301945974,2.84E-13,3.32E-12
SSTR3,44.34818083,-9.921422432,1.358932974,-7.300891672,2.86E-13,3.35E-12
RPL26,43034.69229,-1.435933632,0.196722375,-7.299289846,2.89E-13,3.38E-12
DSCAM-AS1,2039.100838,28.4861163,3.906749999,7.291512461,3.06E-13,3.58E-12
GIMAP5,34.55855741,-9.915762018,1.360049774,-7.290734651,3.08E-13,3.60E-12
ESPNL,56.946185,-7.2502591,0.994534717,-7.290101571,3.10E-13,3.62E-12
ZDHHC14,104.5175213,3.436367371,0.471637945,7.286028209,3.19E-13,3.72E-12
DARC,39.07252975,-9.371697075,1.286761709,-7.283164404,3.26E-13,3.80E-12
SATB2,177.6404904,9.535087978,1.309534,7.281283248,3.31E-13,3.85E-12
GYPE,29.64739343,-9.693196278,1.331298197,-7.281010598,3.31E-13,3.86E-12
OLFM1,1662.499511,10.70808157,1.471031234,7.279302654,3.36E-13,3.90E-12
PRF1,54.63700059,-9.612824711,1.320977967,-7.277051508,3.41E-13,3.97E-12
CACHD1,1436.071437,8.152774599,1.120596108,7.275390784,3.45E-13,4.01E-12
TNFSF15,44.88652589,5.472910443,0.75228501,7.275049175,3.46E-13,4.02E-12
FAM118A,669.7833907,-1.406308733,0.193326447,-7.274269774,3.48E-13,4.04E-12
DOCK4,521.808062,3.019709397,0.41533014,7.270624271,3.58E-13,4.15E-12
C20orf196,105.0525635,-2.383327232,0.327852696,-7.269506281,3.61E-13,4.18E-12
PSIP1,10094.75674,-3.133870502,0.431126048,-7.2690354,3.62E-13,4.19E-12
GPR113,53.88125448,-2.604299514,0.358463323,-7.265177074,3.73E-13,4.31E-12
FAHD2B,461.384879,-1.895769096,0.261133531,-7.259768949,3.88E-13,4.49E-12
GLB1L2,287.4453699,4.652319406,0.641440358,7.252925928,4.08E-13,4.71E-12
HTR7P1,135.9692877,6.775651215,0.934864084,7.247739357,4.24E-13,4.90E-12
AGPAT2,1108.83248,3.65880524,0.505091854,7.24384132,4.36E-13,5.04E-12
SYNPO2L,55.70961635,-7.528212952,1.039652092,-7.241088642,4.45E-13,5.13E-12
LRRC8A,4881.100668,3.698468131,0.511052474,7.236963554,4.59E-13,5.29E-12
JAZF1,246.928685,4.506959385,0.623099801,7.233126026,4.72E-13,5.44E-12
GRAPL,29.35611388,-7.011960784,0.969811816,-7.230228242,4.82E-13,5.55E-12
SYNPO,1389.114623,-3.384229656,0.468187556,-7.228363113,4.89E-13,5.62E-12
PPP1R29,226.4373477,5.819747051,0.805285379,7.226937437,4.94E-13,5.68E-12
NLRP2,179.5788235,-12.10772481,1.675618269,-7.225825258,4.98E-13,5.72E-12
CD226,1482.095355,-9.924376776,1.373526288,-7.22547276,4.99E-13,5.73E-12
FADS3,1266.072592,3.877752474,0.536756408,7.224417664,5.03E-13,5.78E-12
DOLK,907.1666686,2.556906976,0.35401295,7.222636848,5.10E-13,5.85E-12
TRAF3IP3,725.6643317,-6.784019551,0.939385884,-7.221760158,5.13E-13,5.88E-12
ULBP2,99.13551543,5.848066985,0.810078016,7.219140461,5.23E-13,5.99E-12
LOC100506334,155.4735319,3.415772226,0.473264758,7.217465839,5.30E-13,6.06E-12
EXD2,972.8725671,1.109499294,0.153786412,7.214546993,5.41E-13,6.19E-12
TMEM40,438.8447176,7.037858881,0.97569251,7.213193512,5.47E-13,6.25E-12
TMOD1,618.8512885,-5.19351747,0.720255696,-7.210657959,5.57E-13,6.36E-12
KCTD20,2491.8234,-1.741693465,0.241608954,-7.208728965,5.65E-13,6.45E-12
LOC285758,65.28275737,-7.991520238,1.108693698,-7.208050566,5.68E-13,6.47E-12
SLC37A3,1159.607575,1.504035402,0.208690662,7.207008635,5.72E-13,6.52E-12
TREML2,154.1673666,-7.508550084,1.042483565,-7.202559668,5.91E-13,6.73E-12
ODF3B,69.53486263,-6.361362901,0.883749871,-7.198148605,6.10E-13,6.95E-12
TPD52L2,4427.210817,1.86435372,0.259005733,7.19811757,6.10E-13,6.95E-12
ELAVL3,43.40023324,-5.683065296,0.789802942,-7.1955484,6.22E-13,7.07E-12
TMBIM6,18670.24519,1.101910334,0.153149679,7.194989522,6.25E-13,7.10E-12
ZNF439,67.80943781,-6.487361133,0.901696951,-7.194613587,6.26E-13,7.11E-12
LOC643401,156.0556786,-4.624264309,0.642882151,-7.193020221,6.34E-13,7.19E-12
PLAC2,531.9367961,5.431576966,0.755514528,7.189242252,6.52E-13,7.39E-12
HRASLS2,73.60033044,-4.039766561,0.561995498,-7.188254314,6.56E-13,7.44E-12
ITM2B,2613.925599,3.740394236,0.520679304,7.183681414,6.79E-13,7.69E-12
MFAP2,1721.201589,9.687502811,1.348637195,7.183179319,6.81E-13,7.71E-12
GNG10,347.9361593,2.143491805,0.298622508,7.177931153,7.08E-13,8.01E-12
PTPN6,4364.897025,-3.250962097,0.452956501,-7.177205959,7.12E-13,8.04E-12
HSPA7,110.4510089,-8.749103553,1.219229674,-7.175927343,7.18E-13,8.11E-12
ZEB2,41.09261539,-4.522190279,0.630214364,-7.17563822,7.20E-13,8.12E-12
GNS,2312.835902,1.121671161,0.156427165,7.170565049,7.47E-13,8.43E-12
FLJ46906,54.48085407,4.201378233,0.586077545,7.16863881,7.57E-13,8.54E-12
SCD5,252.3578055,4.639394994,0.64742924,7.16587189,7.73E-13,8.71E-12
GYG1,1369.055515,2.318098832,0.323645629,7.162459885,7.92E-13,8.92E-12
ETV3L,28.5430421,-9.451926728,1.31975382,-7.161886245,7.96E-13,8.95E-12
POMC,67.87395174,-10.32669979,1.442174396,-7.160506955,8.04E-13,9.04E-12
GOLGA7B,74.71349642,4.87966242,0.682058522,7.154316325,8.41E-13,9.45E-12
CPNE7,858.9521113,-3.906980332,0.546863457,-7.144343401,9.04E-13,1.02E-11
LOC400950,33.16477871,-9.739336132,1.363803716,-7.141303411,9.25E-13,1.04E-11
CEP70,306.7945632,3.66617942,0.513526928,7.13921553,9.39E-13,1.05E-11
CLN8,1359.182471,1.608567969,0.225448603,7.13496534,9.68E-13,1.09E-11
ABCA10,60.09237388,-4.276890796,0.599643522,-7.132388889,9.86E-13,1.10E-11
NKTR,3883.145534,-2.064132243,0.289461489,-7.130939086,9.97E-13,1.12E-11
CKMT1B,231.574072,9.555226567,1.340126929,7.130090708,1.00E-12,1.12E-11
CNKSR1,451.6591227,3.087938413,0.433167535,7.128739262,1.01E-12,1.13E-11
FSD1L,403.6476128,-3.676162708,0.515944629,-7.125110914,1.04E-12,1.16E-11
HSBP1,4252.777413,1.901897667,0.267062091,7.121556108,1.07E-12,1.19E-11
MYO15A,75.20609116,-2.87622989,0.403874534,-7.121592601,1.07E-12,1.19E-11
CYP2S1,4481.860239,3.802433822,0.533960335,7.121191542,1.07E-12,1.19E-11
NEURL1B,730.743002,5.055748859,0.710020416,7.120568293,1.07E-12,1.20E-11
CNTNAP2,1266.206192,6.617734247,0.929863092,7.116890977,1.10E-12,1.23E-11
IL15RA,107.8555336,-2.838938612,0.399155394,-7.112364399,1.14E-12,1.27E-11
GRAP2,93.6029413,-7.83205477,1.101639724,-7.109452026,1.17E-12,1.30E-11
RASEF,139.5737726,9.335867835,1.313345965,7.108460437,1.17E-12,1.30E-11
TTC17,2051.294836,-1.314908381,0.185116799,-7.103128324,1.22E-12,1.35E-11
SHISA2,220.2147523,9.321908173,1.31329146,7.098125937,1.26E-12,1.40E-11
BTD,325.1224744,2.174259003,0.306345506,7.097407867,1.27E-12,1.41E-11
MECOM,149.736248,6.238732043,0.879093573,7.096778128,1.28E-12,1.42E-11
RASGRP4,95.05829666,-6.514044398,0.917976754,-7.096088619,1.28E-12,1.42E-11
CHPF,2813.869674,4.664022058,0.657501101,7.093557789,1.31E-12,1.45E-11
C18orf18,82.42932108,-2.791753979,0.393590442,-7.093043131,1.31E-12,1.45E-11
VAT1,7274.134063,2.864059037,0.403816368,7.092478827,1.32E-12,1.46E-11
PPM1M,406.0011904,-2.234613215,0.315106141,-7.091620643,1.33E-12,1.46E-11
ARHGEF4,524.533348,6.29999214,0.888683109,7.089132311,1.35E-12,1.49E-11
SH3D21,475.274736,-2.065075543,0.291381612,-7.087185523,1.37E-12,1.51E-11
SLCO2A1,84.17678574,9.084179224,1.28190261,7.086481574,1.38E-12,1.52E-11
MGAT5B,253.4412467,7.702556649,1.087290479,7.084175567,1.40E-12,1.54E-11
CST6,47.43052713,8.710650771,1.22995083,7.08211301,1.42E-12,1.56E-11
TNFRSF4,65.83733196,-8.403084096,1.187473905,-7.076436849,1.48E-12,1.63E-11
RPH3AL,103.7380374,4.967577648,0.702009533,7.076225344,1.48E-12,1.63E-11
PLXND1,3098.414622,8.337205848,1.178783784,7.072718473,1.52E-12,1.67E-11
SP110,1031.10931,-3.017730835,0.426771443,-7.071070198,1.54E-12,1.69E-11
FIBCD1,361.9522246,9.63674327,1.3634205,7.068063937,1.57E-12,1.73E-11
PGBD4,118.3064045,-1.860935552,0.263367795,-7.065919167,1.60E-12,1.75E-11
TMEM106A,159.8288075,-3.731491758,0.528214987,-7.064342837,1.61E-12,1.77E-11
DUSP22,875.6398332,-2.373760033,0.336112158,-7.062404552,1.64E-12,1.79E-11
ESPN,437.5158753,8.321787915,1.17837729,7.06207425,1.64E-12,1.80E-11
PLCH1,459.6031332,6.431413542,0.910761112,7.061581197,1.65E-12,1.80E-11
MAST4,827.9931542,4.602488077,0.651876954,7.060363232,1.66E-12,1.82E-11
GRIN3A,29.32220336,-4.097659113,0.580589752,-7.057753086,1.69E-12,1.85E-11
