"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","status"
"CMTM4",1687.62542400613,5.31104641846014,0.348129811064464,15.2559368651043,1.50321863474102e-52,1.84248672938744e-50,"UP"
"PLEKHG3",1653.67015796588,7.11952659871405,0.466809612341256,15.2514567191675,1.61000710220141e-52,1.9597672657831e-50,"UP"
"LCP1",32963.9203401711,-8.03350102496377,0.527914733240181,-15.2174215249811,2.71003332154589e-52,3.27617041954006e-50,"DOWN"
"NRP1",2081.81309895202,10.7056105009041,0.704207861713504,15.202344482288,3.41188137499018e-52,4.0965786577263e-50,"UP"
"H2AFY2",723.893598160146,5.03910385496,0.332009122369314,15.1776066241779,4.97609808660139e-52,5.93433319111584e-50,"UP"
"ACVR1",559.886786204057,7.24576024485267,0.477603770995847,15.171070005885,5.49732730562515e-52,6.46852179628559e-50,"UP"
"IFI44L",1873.77546998814,-11.0855916031293,0.730694024003216,-15.1713182795655,5.4765711134016e-52,6.46852179628559e-50,"DOWN"
"ABCC3",840.330527730604,8.26220913079504,0.545781422616906,15.1383113979576,9.05078767264608e-52,1.05792319484903e-49,"UP"
"LCK",2135.92835948327,-10.4750481733923,0.692200714849143,-15.1329635302027,9.8172936359395e-52,1.13996863601534e-49,"DOWN"
"LMO2",282.311166023453,-4.66155857496895,0.308105753328376,-15.1297355684258,1.03108878584205e-51,1.18945863203347e-49,"DOWN"
"PFN2",3996.28299525736,4.22599027408767,0.279822335762472,15.1024051120598,1.5613283550742e-51,1.78944451084803e-49,"UP"
"CRIP2",2458.81754844474,9.73502585383363,0.644733163080539,15.099309933616,1.63636942871819e-51,1.86334970431458e-49,"UP"
"GSTO2",379.876010704484,4.48472600786025,0.2971202448597,15.0939765480401,1.77419445674183e-51,2.00734180522393e-49,"UP"
"STAT5A",1626.49749235467,-6.0440475733262,0.400792909480707,-15.0802257982988,2.18520365844797e-51,2.45661430392399e-49,"DOWN"
"RBMS1",1375.39944161129,7.19525319957728,0.477626071046943,15.0646156810609,2.76770383908737e-51,3.09177042784127e-49,"UP"
"ARHGAP9",569.272551791317,-10.2299003139608,0.679138538074873,-15.0630537665542,2.83388695461834e-51,3.1457927515103e-49,"DOWN"
"S100A10",7188.15133252819,9.62906523392381,0.639347368428844,15.0607724523628,2.9333947300052e-51,3.23590106153699e-49,"UP"
"SLC7A7",453.251878882716,-7.76224499106128,0.515599652453166,-15.0547909683984,3.21112726836866e-51,3.52027306128614e-49,"DOWN"
"FAM83H",4480.27158614504,6.35422194839339,0.422599926031837,15.0360223866076,4.26413638705973e-51,4.64580291553112e-49,"UP"
"IL2RG",2364.08262263523,-12.5634336855207,0.83692927372231,-15.0113445424651,6.18805081743741e-51,6.65970103218112e-49,"DOWN"
"THBS1",20833.0855633901,13.9437538011495,0.928879642248192,15.011367637901,6.18589639581441e-51,6.65970103218112e-49,"UP"
"TLR10",1646.34847210665,-12.3198810733215,0.822187978637228,-14.9842632018795,9.30517556322388e-51,9.95371810247888e-49,"DOWN"
"ADCY6",1492.35174426694,7.55732481434796,0.505223339613855,14.9583841873261,1.37319789562195e-50,1.46005679865828e-48,"UP"
"NQO1",3348.12666835753,3.69337276570711,0.24733415448959,14.9327244081147,2.01847791173327e-50,2.13330150551451e-48,"UP"
"EPHA2",2139.95335183028,8.92424139168017,0.598258333255524,14.9170364967879,2.55365537154572e-50,2.68285817308226e-48,"UP"
"BOK",1049.95663453067,8.31595028866564,0.557668171868823,14.91200450045,2.75360247663315e-50,2.87580376997486e-48,"UP"
"STK39",855.787901359464,7.4389738140136,0.50157586490234,14.8312036813454,9.20671418858025e-50,9.55873561343773e-48,"UP"
"PACSIN3",1375.33510833475,5.13008386451798,0.346095921324171,14.8227226859252,1.04462946516063e-49,1.07822865848451e-47,"UP"
"TEAD3",1039.31160982523,8.14365009744625,0.549663451741807,14.8157023568516,1.15970713636326e-49,1.19004831144253e-47,"UP"
"ZDHHC3",2465.84443102067,1.60586757632517,0.108913600660144,14.7444172866541,3.34191833244965e-49,3.40952939697897e-47,"UP"
"TLR7",542.062676144299,-10.7177026585348,0.728458862219957,-14.7128454527589,5.33174802383605e-49,5.40835359889116e-47,"DOWN"
"SLC15A3",799.446089536293,-7.87299597177407,0.537883784259164,-14.6369833078676,1.63147925720014e-48,1.645463365119e-46,"DOWN"
"COL4A5",1267.99012805857,8.90313103718042,0.608343582442181,14.6350373278189,1.67883525456179e-48,1.68360467289861e-46,"UP"
"KLK1",179.634222216751,-6.05645217132808,0.415344161895195,-14.5817679095158,3.66890942031253e-48,3.65854526940769e-46,"DOWN"
"PTPRF",13176.559765902,6.09697711232973,0.419140353527659,14.546385383834,6.15715812343722e-48,6.10527195947567e-46,"UP"
"GPC1",3328.72127845376,9.43905856589099,0.649260445555759,14.538169744518,6.94241129233338e-48,6.84545024076448e-46,"UP"
"SV2B",356.212973783893,-9.80942982309491,0.675703939142594,-14.517348878478,9.40789848986735e-48,9.22496713034215e-46,"DOWN"
"CADM4",658.303406739608,6.03764267692777,0.418065690840972,14.441851625716,2.82158845987403e-47,2.75143847054015e-45,"UP"
"PRKCB",5742.62911853081,-17.1981756544135,1.19130357698393,-14.4364341605981,3.0522994975351e-47,2.96005967755464e-45,"DOWN"
"APBB1IP",1024.2956283962,-10.9545499481335,0.759344656947273,-14.4263212335925,3.5343623304016e-47,3.4088248705786e-45,"DOWN"
"GRAMD1B",409.994482672594,-9.63062277452173,0.667999697662492,-14.4171064870566,4.03924697182928e-47,3.87460375286885e-45,"DOWN"
"TPD52L1",1838.04930090671,10.7221103331223,0.743972640745249,14.4119685938744,4.35128725820826e-47,4.15136324904734e-45,"UP"
"ENTPD1",5681.83670424319,-4.96108832886444,0.344488760429974,-14.4013068022082,5.0774308129592e-47,4.81809966928655e-45,"DOWN"
"MYO5B",998.80419020795,5.48209862490629,0.380699157188105,14.400080802379,5.16830596852557e-47,4.87810697029285e-45,"UP"
"PKP3",2370.79760269624,11.277598322383,0.784192798491441,14.3811551752042,6.79508238433261e-47,6.37942574912078e-45,"UP"
"RINL",688.543066201021,-3.9704522473431,0.276621157912598,-14.3533932013892,1.01449605450091e-46,9.47399754600061e-45,"DOWN"
"LOC100506779",255.701207381921,-6.78017429268628,0.472738028224001,-14.3423500710494,1.18957937217283e-46,1.10505662730792e-44,"DOWN"
"FLJ23867",465.005867490689,5.49860308086437,0.38343428265013,14.3404054610361,1.22338605533371e-46,1.13051119772984e-44,"UP"
"ANKLE1",342.358937416843,-5.34828639299764,0.373001661535608,-14.338505547078,1.25733881795175e-46,1.15583490296086e-44,"DOWN"
"EGR2",1026.26137672613,-7.63929956814395,0.53435343167972,-14.2963422993843,2.30615899177082e-46,2.10900032148989e-44,"DOWN"
"JAG2",1283.71716961392,8.53934830119446,0.597741594066397,14.2860198887982,2.67464909407013e-46,2.43337920156381e-44,"UP"
"PTPRU",2081.30851958451,8.71122647544254,0.60994567683075,14.2819710120837,2.8346913817468e-46,2.56575912245288e-44,"UP"
"HEBP1",722.363218674246,5.7715138594234,0.40458979452685,14.2650999543203,3.61074227062475e-46,3.25151025900647e-44,"UP"
"OBSL1",3816.101896166,9.49891407159636,0.668232518655026,14.2149832676733,7.39691193575161e-46,6.62718252111756e-44,"UP"
"LAD1",2070.33797550098,7.22229081462003,0.508364663657328,14.2069095886026,8.30086616753231e-46,7.39950948772451e-44,"UP"
"FZD5",1033.87109506158,3.73779465611125,0.263321741742258,14.1947817577853,9.86932118352239e-46,8.75344316025981e-44,"UP"
"PIK3R6",2581.46921970507,-13.2479419385132,0.93449921847496,-14.1765147328137,1.28050021367438e-45,1.13004143856764e-43,"DOWN"
"ANKRD5",293.464252293125,4.85149391318012,0.342271459575003,14.1744039050296,1.31958884576647e-45,1.15874343919295e-43,"UP"
"HSPA1B",1238.56345467693,3.45982292128976,0.244151229787258,14.1708191447755,1.38871116813898e-45,1.21340357018084e-43,"UP"
"GPAT2",664.780367380223,-10.3419325217165,0.730775782871274,-14.1519913003716,1.81542828956263e-45,1.57843888230446e-43,"DOWN"
"PTPN21",605.391554156592,7.44197631755122,0.525878540112209,14.1515117083182,1.82785297178932e-45,1.58145122314125e-43,"UP"
"CR2",2720.20503310288,-10.3635003807782,0.732697786789149,-14.1443041969506,2.02509723869844e-45,1.74355932990378e-43,"DOWN"
